dummy,DH_Type_II_Start,DH_Type_II_End,Max_Frequency,Min_Frequency,Flare_Loc,Flare_NOAA,Flare_Imp,CME_Date_Time,CME_CPA,CME_Width,CMA_Spd,Plots,Notes,,,,,,,,
0,4/1/1997 14:00,4/1/1997 14:15,8000,4000,S25E16,8026,M1.3,4/1/1997 15:18,74,79,312,PHTX,,,,,,,,,
0,4/7/1997 14:30,4/7/1997 17:30,11000,1000,S28E19,8027,C6.8,4/7/1997 14:27,Halo,360,878,PHTX,,,,,,,,,
0,5/12/1997 5:15,5/14/1997 16:00,12000,80,N21W08,8038,C1.3,5/12/1997 5:30,Halo,360,464,PHTX,,,,,,,,,
0,5/21/1997 20:20,5/21/1997 22:00,5000,500,N05W12,8040,M1.3,5/21/1997 21:00,263,165,296,PHTX,,,,,,,,,
0,9/23/1997 21:53,9/23/1997 22:16,6000,2000,S29E25,8088,C1.4,9/23/1997 22:02,133,155,712,PHTX,,,,,,,,,
0,11/3/1997 5:15,11/3/1997 12:00,14000,250,S20W13,8100,C8.6,11/3/1997 5:28,240,109,227,PHTX,,,,,,,,,
0,11/3/1997 10:30,11/3/1997 11:30,14000,5000,S16W21,8100,M4.2,11/3/1997 11:11,233,122,352,PHTX,,,,,,,,,
0,11/4/1997 6:00,11/5/1997 4:30,14000,100,S14W33,8100,X2.1,11/4/1997 6:10,Halo,360,785,PHTX,,,,,,,,,
0,11/6/1997 12:20,11/7/1997 8:30,14000,100,S18W63,8100,X9.4,11/6/1997 12:10,Halo,360,1556,PHTX,,,,,,,,,
0,11/27/1997 13:30,11/27/1997 14:00,14000,7000,N17E63,8113,X2.6,11/27/1997 13:56,98,91,441,PHTX,,,,,,,,,
0,12/12/1997 22:45,12/12/1997 23:20,14000,8000,N25W52,8116,B9.4,12/13/1997 0:26,278,73,191,PHTX,,,,,,,,,
0,1/25/1998 15:03,1/25/1998 15:18,14000,10000,N21E25,8141,C1.1,1/25/1998 15:26,Halo,360,693,PHTX,,,,,,,,,
0,3/29/1998 3:40,3/29/1998 3:52,14000,7000,SW90,-----,----,3/29/1998 3:48,Halo,360,1397,PHTX,,,,,,,,,
0,4/20/1998 10:25,4/22/1998 6:00,10000,35,S22W90,8194,M1.4,4/20/1998 10:07,284,165,1863,PHTX,,,,,,,,,
0,4/23/1998 6:00,4/23/1998 15:30,14000,200,S17E90,8210,X1.2,4/23/1998 5:55,Halo,360,1691,PHTX,,,,,,,,,
0,4/24/1998 9:17,4/24/1998 9:25,4700,2600,S20E90,8210,C8.9,4/24/1998 8:55,100,84,1184,PHTX,uncertain,,,,,,,,
0,4/27/1998 9:20,4/27/1998 10:00,10000,1000,S16E50,8210,X1.0,4/27/1998 8:56,Halo,360,1385,PHTX,,,,,,,,,
0,4/29/1998 16:30,4/29/1998 17:00,10000,2000,S18E20,8210,M6.8,4/29/1998 16:58,Halo,360,1374,PHTX,,,,,,,,,
0,5/2/1998 14:25,5/2/1998 14:50,5000,3000,S15W15,8210,X1.1,5/2/1998 14:06,Halo,360,938,PHTX,,,,,,,,,
0,5/6/1998 8:25,5/6/1998 8:35,14000,5000,S11W65,8210,X2.7,5/6/1998 8:29,309,190,1099,PHTX,,,,,,,,,
0,5/9/1998 3:35,5/9/1998 10:00,9000,400,S14W89,8210,M7.7,5/9/1998 3:35,262,178,2331,PHTX,,,,,,,,,
0,5/11/1998 21:40,5/11/1998 22:00,10000,1000,N32W90,8214,B6.6,5/11/1998 21:55,208,>301,830,PHTX,,,,,,,,,
0,5/19/1998 10:00,5/19/1998 11:30,14000,3000,N23W43,8222,B5.7,5/19/1998 10:27,268,139,801,PHTX,,,,,,,,,
0,5/27/1998 13:30,5/27/1998 14:20,4000,1000,N19W62,8226,C7.5,5/27/1998 13:45,175,268,878,PHTX,,,,,,,,,
