dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed
0,1,4/3/2010 9:54,4/3/2010 10:33,620,26,8,7,-1,658,677,661,360,171,24,1,0,0,0.135335283,229,484,487.3
0,2,6/13/2010 7:32,6/13/2010 6:30,500,30,117,17,6,481,216,435,294,295,25,0,0,0,0.135335283,229,484,427.5
0,3,6/20/2010 3:18,6/20/2010 2:06,570,20,-80,-13,-6.4,509,675,548,108,96,18,0,0,0,0.135335283,229,484,387.2
0,4,7/3/2010 1:30,7/3/2010 1:30,625,23,35,-4,8.7,544,0,447,239,236,13,0,0,0,0.135335283,229,484,602.6
0,5,8/1/2010 2:42,8/1/2010 0:30,760,48,-22,7,-15,100,156,0,90,94,24,0,0,0,0.135335283,229,484,509.8
0,6,8/1/2010 23:54,8/1/2010 23:18,686,35,-145,40,711.6,1039,15,3728,56,33,24,0,0,0,0.135335283,229,484,485.3
0,7,8/6/2010 0:00,8/5/2010 23:26,300,20,41,13,-3.4,325,429,316,300,302,51,0,0,0,0.135335283,229,484,515.3
0,8,8/7/2010 17:00,8/7/2010 18:36,750,27,-46,-3,-11.9,755,978,827,360,94,48,1,0,0,0.135335283,229,484,397.3
0,9,8/14/2010 10:12,8/14/2010 10:12,950,35,46,-7,-43,993,1415,989,360,224,33,1,0,0,0.135335283,229,484,412
0,10,8/15/2010 8:12,8/15/2010 8:24,620,30,35,28,9.3,446,248,532,302,306,38,0,0,0,0.135335283,229,484,375.7
0,11,8/18/2010 6:00,8/18/2010 5:48,1250,40,92,-6,-20.2,1363,1574,1416,255,230,23,0,0,0,0.135335283,229,484,366.5
0,12,8/27/2010 10:24,8/27/2010 10:12,780,30,67,-40,21.7,618,350,807,242,246,12,0,0,0,0.135335283,229,484,654.8
0,13,8/31/2010 21:20,8/31/2010 21:17,1200,28,145,-35,-12.5,1240,1369,1267,360,206,30,1,0,0,0.135335283,229,484,334.7
0,14,9/4/2010 15:25,9/4/2010 15:12,400,50,20,3,-101.7,711,1193,0,296,282,58,0,0,0,0.135335283,229,484,350
0,15,9/8/2010 23:26,9/8/2010 23:26,850,45,96,8,-19.4,641,988,709,281,272,0,0,0,0,0.135335283,229,484,353.7
0,16,9/10/2010 23:30,9/11/2010 2:00,410,35,-20,20,10.8,638,294,589,65,47,16,0,0,0,0.135335283,229,484,389.8
0,17,9/22/2010 5:00,9/22/2010 4:24,650,30,-67,22,-8.3,448,591,388,88,62,36,0,0,0,0.135335283,229,484,335
0,18,9/30/2010 23:38,9/30/2010 23:05,460,25,144,42,14.8,641,177,626,358,337,48,0,0,0,0.135335283,229,484,378.3
0,19,10/6/2010 7:24,10/6/2010 7:12,360,30,-10,20,7,411,152,441,6,50,0,0,0,0,0.135335283,229,484,335.8
0,20,10/7/2010 9:36,10/7/2010 7:24,515,32,76,41,17.7,813,56,659,294,319,0,0,0,0,0.135335283,229,484,317.7
0,21,10/11/2010 0:00,10/10/2010 22:12,350,35,-13,-1,12.1,476,0,543,92,99,13,0,0,0,0.135335283,229,484,330.7
0,22,10/14/2010 17:48,10/14/2010 17:48,310,28,27,19,58,622,290,1224,51,51,37,0,0,0,0.135335283,229,484,292.5
0,23,10/17/2010 8:36,10/17/2010 9:36,340,30,-144,32,-0.9,297,310,274,269,279,57,0,0,0,0.135335283,229,484,372.8
0,24,10/22/2010 1:25,10/21/2010 22:36,400,27,10,45,25.7,697,148,799,283,321,36,0,0,0,0.135335283,229,484,377.3
0,25,10/26/2010 6:36,10/26/2010 7:36,500,43,49,-13,1.2,540,514,542,50,45,63,0,0,0,0.135335283,229,484,619.3
0,26,10/30/2010 20:00,10/30/2010 20:24,430,30,140,-11,2.5,415,397,465,331,335,33,0,0,0,0.135335283,229,484,375.7
0,27,11/3/2010 15:00,11/3/2010 12:36,260,30,-88,-10,-6.9,187,297,0,98,97,18,0,0,0,0.135335283,229,484,321.8
0,28,11/8/2010 21:08,11/8/2010 20:24,600,20,-72,25,4.4,548,398,513,35,44,37,0,0,0,0.135335283,229,484,341.5
0,29,11/11/2010 17:00,11/11/2010 17:00,877,25,-7,-22,-6.8,355,483,271,50,140,51,0,0,0,0.135335283,229,484,431.2
0,30,11/26/2010 7:30,11/26/2010 7:36,576,28,-151,-30,-3.8,363,466,357,140,157,14,0,0,0,0.135335283,229,484,371.4
0,31,12/5/2010 1:00,12/5/2010 0:12,740,30,106,-5,2.2,332,226,322,260,268,44,0,0,0,0.135335283,229,484,284.2
0,32,12/6/2010 18:30,12/6/2010 17:24,630,37,-63,-35,14.7,795,315,676,125,129,29,0,0,0,0.135335283,229,484,329.8
0,33,12/7/2010 9:24,12/7/2010 7:12,350,28,60,5,5.6,369,0,366,265,276,31,0,0,0,0.135335283,229,484,351
0,34,12/12/2010 5:00,12/12/2010 5:00,750,38,50,-10,9.2,655,332,579,21,36,27,0,0,0,0.135335283,229,484,322.7
0,35,12/12/2010 7:00,12/12/2010 6:00,400,21,-24,44,6.1,531,311,494,93,113,27,0,0,0,0.135335283,229,484,322.2
0,36,12/16/2010 9:12,12/16/2010 8:48,480,15,45,42,0.8,590,571,588,321,333,24,0,0,0,0.135335283,229,484,519
0,37,12/23/2010 5:24,12/23/2010 5:00,305,32,30,-13,7.2,449,132,439,241,226,17,0,0,0,0.135335283,229,484,310.5
0,38,12/24/2010 5:48,12/24/2010 5:00,500,28,73,3,2,237,145,266,263,261,14,0,0,0,0.135335283,229,484,315.2
0,39,1/2/2011 18:00,1/2/2011 15:24,300,35,119,2,21,610,119,724,268,262,48,0,0,0,0.135335283,229,484,354.5
0,40,1/8/2011 5:48,1/8/2011 7:12,350,20,-64,-15,-29.6,116,331,0,237,243,25,0,0,0,0.135335283,229,484,614.2
0,41,1/12/2011 10:00,1/12/2011 11:00,650,35,125,-13,17.8,301,184,682,66,67,22,0,0,0,0.135335283,229,484,495.3
