dummy,index,donki_date,cdaw_date,donki_speed,donki_ha,longitude,latitude,Accel,2nd_order_speed_final,2nd_order_speed_initial,2nd_order_speed_20R,Central_PA,MPA,sunspots,halo,Double_CME_100_MeV,target,100MeV_peak_intensity,threshold_time,peak_time,solar_wind_speed,100MeV_peak_intensity_ln,connection_angle_degrees,expected_richardson,expected_richardson_ln,Type_2_Area,richardson_formula_degrees_phi_2_solar_wind,diffusive_shock,V log V,CMEs_past_month,CMEs_past_9_hours,CMEs_over_1000_past_9_hrs,Max_speed_past_day,connection_angle_degrees_phi_2_solar_wind_sq_div,trained_richardson_ln,donki_speed_unnormalized
0,264,1/27/2012 16:39,1/27/2012 18:27,2200,55,75,40,165.9,3090,1968,2761,360,296,65,1,0,1,9.6603,135,270,524.3,2.268024704,49.10712607,18.63575732,2.925082172,9747750,0.006772278,6.62E-13,16931.66781,22,0,0,0,-0.652111907,8842.213111718629,2200.0
0,615,5/22/2013 13:24,5/22/2013 13:25,1200,60,80,10,-13.2,1394,1532,1438,360,287,131,1,1,1,3.4067,71,305,449.3,1.225744081,30.52375553,0.759759893,-0.274752826,38832500,0.010104718,1.69E-14,8508.092203,23,1,0,650,-0.251946904,4822.738676721118,1200.0
0,288,3/13/2012 17:52,3/13/2012 17:36,2250,60,43,25,45.6,2054,1706,1987,360,286,96,1,0,1,3.2516,8,48,563.7,1.179147183,25.10243013,36.11816867,3.586796026,6083000,0.010963278,6.87E-13,17367.04236,16,0,0,0,-0.170398053,9043.688555572719,2250.0
0,111,8/9/2011 8:30,8/9/2011 8:12,1175,20,62,-12,-40.6,1419,1797,1506,360,279,61,1,0,1,2.2871,-6,30,611.2,0.827284639,27.11866325,0.73221866,-0.311676094,180000,0.010655532,1.23E-14,8306.102526,11,0,0,850,-0.198870172,4722.294888453186,1175.0
0,587,4/11/2013 7:36,4/11/2013 7:24,1000,58,-25,-7,-8.1,792,929,819,360,85,126,1,1,1,1.7667,138,389,419.8,0.5691134,-79.67335842,0.085489021,-2.459367317,4606000,0.002335878,3.53E-16,6907.755279,10,0,0,0,-1.716561396,4017.2991422294285,1000.0
0,263,1/23/2012 4:00,1/23/2012 4:00,2211,62,26,41,28,2283,2065,2216,360,326,113,1,1,1,1.987,104,230,441.5,0.686625964,-47.24707089,20.35135148,3.013147321,33516000,0.007108581,6.68E-13,17027.3536,25,0,0,694,-0.603646757,8886.480197468216,2211.0
0,89,6/7/2011 6:50,6/7/2011 6:49,1400,46,52,-25,0.3,1258,1253,1256,360,250,58,1,0,1,3.6612,69,710,397.7,1.297790963,-25.5860325,1.682309062,0.520167291,10631250,0.010890845,9.47E-14,10141.91852,12,0,0,750,-0.177026787,5626.78851683809,1400.0
0,1802,10/29/2015 2:48,10/29/2015 0:48,390,31,95,-24,-15.6,199,334,0,241,234,93,0,1,1,1.5447,151,182,300.5,0.434829717,30.09865848,0.041428589,-3.183784083,0,0.010175381,5.68E-53,2326.797228,29,1,0,430,-0.244978162,1566.6472194635085,390.0
0,422,7/23/2012 2:36,7/23/2012 2:36,2800,65,130,5,-24.6,1901,2103,1972,360,286,63,1,0,2,0.726,404,1189,445.5,-0.320205264,78.59866501,58.35989182,4.06662887,3355800,0.002445829,8.52E-13,22224.64915,42,0,0,0,-1.670565208,11253.119418416709,2800.0
0,421,7/19/2012 5:36,7/19/2012 4:24,1200,50,100,-20,13.1,472,,698,208,203,38,0,0,2,0.749,89,239,408.7,-0.289016295,47.40256772,0.532361456,-0.630432592,0,0.007080345,1.69E-14,8508.092203,44,0,0,0,-0.60762667,4822.382996955084,1200.0
0,1300,9/10/2014 18:18,9/10/2014 18:00,1400,45,10,15,-61.8,911,1240,274,331,345,169,0,0,2,0.93,253,617,361.8,-0.072570693,-54.78644932,0.891833564,-0.114475751,15220500,0.005773506,9.47E-14,10141.91852,40,0,0,400,-0.811669829,5626.1538737959045,1400.0
0,413,7/8/2012 16:48,7/8/2012 16:36,1000,30,90,-50,-117.2,907,2221,1442,212,234,117,0,0,2,0.669,107,552,447.2,-0.401971219,59.91399297,0.180230952,-1.713516185,0,0.004924581,3.53E-16,6907.755279,46,2,0,850,-0.970710263,4018.044993362017,1000.0
0,410,7/6/2012 23:12,7/6/2012 23:24,1200,40,65,-35,-56.1,1612,2040,1730,360,233,132,1,0,2,0.314,143,333,483,-1.158362293,38.64507996,0.652687224,-0.426657248,4239000,0.008680664,1.69E-14,8508.092203,43,0,0,1000,-0.403851326,4822.586772298873,1200.0
0,124,9/6/2011 22:40,9/6/2011 23:05,650,30,20,20,1.1,589,561,582,360,300,89,1,1,2,0.338,94,331,410.3,-1.084709383,-40.39596073,0.08680591,-2.444080568,16325500,0.008361808,6.26E-49,4210.032036,14,0,0,670,-0.441274647,2611.61831897865,650.0
0,722,9/29/2013 22:40,9/29/2013 22:12,1100,70,38,26,-5.3,1142,1217,1164,360,343,43,1,0,2,0.163,475,490,269.7,-1.814005078,-52.17790241,0.326598483,-1.119023742,19334780,0.006225984,3.78E-15,7703.372005,26,0,0,0,-0.73621782,4420.266945804879,1100.0
0,779,11/2/2013 4:48,11/2/2013 4:48,1078,75,145,5,-26.4,585,1050,708,360,239,101,1,0,2,0.202,361,397,328.7,-1.599487582,75.33122899,0.135801158,-1.996563537,0,0.002802163,2.47E-15,7527.526046,53,0,0,0,-1.534557615,4331.03136481006,1078.0
0,975,2/25/2014 1:25,2/25/2014 1:25,2147,66,-78,-11,-158.1,1809,2495,2069,360,73,171,1,0,2,0.919,204,1125,447.7,-0.084469157,-128.3394936,0.343818267,-1.067642056,8784800,0.00015121,6.33E-13,16471.41214,76,1,1,1050,-4.454036134,8625.357833692926,2147.0
0,1282,9/1/2014 11:24,9/1/2014 11:12,1700,46,-155,1,-240.1,1096,2629,1216,360,65,96,1,1,2,0.657,871,2020,428.2,-0.42007126,151.4599907,0.011959924,-4.426193908,8448050,2.63E-05,3.14E-13,12645.252,32,0,0,0,-6.203387986,6826.7245356364265,1700.0
